"Data Export Generated on Thu Nov 02 02:10:37 PDT 2017"
"Survey ID 5742959"
"Response ID","IP Address","Timestamp (MM/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Custom Variable 6","Custom Variable 7","Custom Variable 8","Custom Variable 9","Custom Variable 10","Respondent Email","Email List","Country Code","Region","1 - Q19","2 - Q15","3 - Q20","3 - Q20","4 - staff_type","5 - diaverum expected","6 - diaverum tools","7 - diaverum motivated","8 - diaverum support","9 - diaverum strategy","10 - diaverum contribute","11 - diaverum valued","12 - diaverum achieve","13 - diaverum improve quality","14 - Diaverum like to work","15 - diaverum feedback","16 - diaverum recommend","17 - free_text","18 - Q19",""
"28805398","93.113.0.19","10/23/2017 22:43:30","0","306","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","2","5","5","5","4","4","5","4","4","4","5","4","2","","",""
"28805426","81.7.100.122","10/23/2017 22:45:24","0","126","1","","","","","Lithuania","Palanga","","","","","259","","","LT","61","","","11","346","1","5","5","5","5","4","5","5","5","5","5","4","5","","",""
"28805439","136.153.14.105","10/23/2017 22:46:11","0","456","1","","","","","Australia","Tuggeranong","","","","","0","","","AU","","","","2","160","1","5","5","3","4","4","5","4","5","3","3","4","3","Knowing that each day we make a difference in people' lives.","",""
"28805476","93.113.0.19","10/23/2017 22:49:36","0","62","1","","","","","Romania","Oradea","","","","","180","","","RO","10","","","15","284","1","","","","","","","","","","","","","","",""
"28805478","93.113.0.19","10/23/2017 22:49:43","0","117","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","2","5","4","3","4","5","4","3","3","2","4","3","3","","",""
"28805503","5.42.250.202","10/23/2017 22:51:37","0","240","1","","","","","Saudi Arabia","9034 حائل 1","","","","","10","","","SA","","","","17","134","2","5","5","3","3","4","4","3","4","4","5","3","4","","",""
"28805544","93.113.0.19","10/23/2017 22:53:53","0","27","1","","","","","Romania","Calarasi","","","","","180","","","RO","10","","","15","274","1","","","","","","","","","","","","","","",""
"28805575","93.113.0.19","10/23/2017 22:55:53","0","266","1","","","","","Romania","Petrosani","","","","","180","","","RO","10","","","15","285","1","4","4","4","4","3","5","5","5","4","5","4","4","","",""
"28805590","93.113.0.19","10/23/2017 22:56:54","0","207","1","","","","","Romania","Calarasi","","","","","180","","","RO","10","","","15","274","2","5","4","4","5","4","4","4","5","5","5","5","4","","",""
"28805604","217.116.5.89","10/23/2017 22:57:40","0","106","1","","","","","Spain","Santa Catalina (Jaen)","","","","","4","","","ES","","","","18","62","2","5","5","4","3","5","5","3","4","5","5","5","5","","",""
"28805647","93.113.0.19","10/23/2017 22:59:41","0","155","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","2","3","4","4","3","4","5","3","4","4","1","3","3","","",""
"28805767","217.11.66.166","10/23/2017 23:09:06","0","201","1","","","","","Kazakhstan","Uralsk","","","","","272","","","KZ","02","","","10","332","1","4","2","4","2","4","4","4","4","4","4","4","4","","",""
"28805768","93.113.0.19","10/23/2017 23:09:14","0","96","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","1","5","4","4","4","5","5","3","5","5","5","4","4","","",""
"28805782","93.113.0.19","10/23/2017 23:10:22","0","153","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","5","4","4","4","4","4","4","4","4","4","4","3","","",""
"28805902","212.247.96.201","10/23/2017 23:20:10","0","462","1","","","","","Poland","Kraków Mlodosci","","","","","120","","","SE","27","","","13","11","1","4","2","4","2","4","4","4","4","3","4","4","4","miła atmosfera, współdziałanie, wzajemne zrozumienie
poprawa jakości sprzętu (od biurowego do medycznego)
","",""
"28805960","109.0.186.1","10/23/2017 23:23:58","0","35","1","","","","","","","","","","","","","","FR","","","","","","","","","","","","","","","","","","","","",""
"28805969","93.113.0.19","10/23/2017 23:24:47","0","228","1","","","","","Romania","Targu Mures","","","","","180","","","RO","10","","","15","295","2","4","4","4","4","5","4","3","5","5","4","4","5","","",""
"28806008","80.190.130.194","10/23/2017 23:26:58","0","181","1","","","","","Germany","Alter Teichweg","","","","","1","","","DE","02","","","7","296","1","4","4","4","3","2","3","2","4","4","4","4","4","","",""
"28806087","93.113.0.19","10/23/2017 23:31:36","0","134","1","","","","","Romania","Racari","","","","","180","","","RO","10","","","15","286","1","5","4","4","4","5","5","4","5","4","4","4","3","","",""
"28806111","217.116.5.89","10/23/2017 23:33:08","0","288","1","","","","","Spain","Pontevedra","","","","","4","","","ES","","","","18","60","2","4","5","4","4","5","5","4","5","5","5","4","4","Lo bueno que tiene trabajar en Diaverum son las instalaciones y que todo sigue un protocolo.
Podemos mejorarlo informatizándolo más y utilizando menos papel.","",""
"28806142","93.113.0.19","10/23/2017 23:35:19","0","23","1","","","","","Romania","Morarilor","","","","","180","","","RO","10","","","15","282","1","","","","","","","","","","","","","","",""
"28806167","93.113.0.19","10/23/2017 23:36:25","0","62","1","","","","","Romania","Morarilor","","","","","0","","","RO","10","","","15","282","1","","","","","","","","","","","","","","",""
"28806361","93.113.0.19","10/23/2017 23:41:14","0","198","1","","","","","Romania","Bistrita","","","","","180","","","RO","10","","","15","269","1","4","5","5","5","4","4","4","5","5","5","5","4","","",""
"28806408","93.113.0.19","10/23/2017 23:44:34","0","394","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","1","5","5","4","4","4","5","4","5","5","5","4","4","","",""
"28806420","93.113.0.19","10/23/2017 23:45:01","0","326","1","","","","","Romania","Craiova","","","","","180","","","RO","10","","","15","276","1","4","4","3","4","4","4","4","4","3","3","3","3","satisfactia pacientilor asupra serviciilor noastre medicale; atmosfera placuta datorata echipei medicale cu care lucrez.","",""
"28806432","93.113.0.19","10/23/2017 23:46:22","0","1738","1","","","","","Romania","Morarilor","","","","","180","","","RO","10","","","15","282","1","5","4","5","4","5","5","3","5","5","5","5","5","-","",""
"28806438","93.113.0.19","10/23/2017 23:46:56","0","184","1","","","","","Romania","Targu Mures","","","","","180","","","RO","10","","","15","295","2","5","5","4","5","4","4","2","5","3","4","1","5","Mediu de lucru placut, colaborare buna intre colegi, munca in echipa.","",""
"28806453","93.113.0.19","10/23/2017 23:48:15","0","432","1","","","","","Romania","Morarilor","","","","","180","","","RO","10","","","15","282","1","4","4","3","3","4","4","3","5","3","4","4","3","Colectivul si pacientii sunt aspectele pozitive si nu in ultimul rand medicii nostri,insa un mai bun mediu ar putea fi in momentul in care nu ar mai fi stresul auditelor.","",""
"28806456","93.113.0.19","10/23/2017 23:48:27","0","7","1","","","","","","","","","","","","","","RO","10","","","","","","","","","","","","","","","","","","","",""
"28806544","212.247.96.201","10/23/2017 23:53:45","0","411","1","","","","","Lithuania","Kaišiadorys","","","","","259","","","SE","27","","","11","340","1","4","4","4","4","4","5","3","5","5","5","5","3","","",""
"28806616","93.113.0.19","10/23/2017 23:57:59","0","300","1","","","","","Romania","Calarasi","","","","","180","","","RO","10","","","15","274","2","5","4","4","5","4","4","4","5","4","4","4","4","","",""
"28806640","93.113.0.19","10/23/2017 23:59:39","0","293","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","5","4","5","4","4","4","4","5","4","4","4","4","","",""
"28806647","93.113.0.19","10/23/2017 23:59:51","0","213","1","","","","","Romania","Braila","","","","","180","","","RO","10","","","15","270","2","4","3","2","2","4","4","2","4","2","3","2","2","munca in echipa","",""
"28806653","217.116.5.89","10/24/2017 00:00:12","0","473","1","","","","","Spain","Spain HQ","","","","","4","","","ES","","","","18","65","2","5","3","3","4","3","4","4","3","3","3","5","2","Relación entre con los compañeros","",""
"28806665","217.116.5.89","10/24/2017 00:00:36","0","122","1","","","","","Spain","Villagarcía (Diagal)","","","","","4","","","ES","","","","18","67","2","3","4","3","3","2","5","3","3","3","4","4","3","","",""
"28806706","217.116.5.89","10/24/2017 00:03:08","0","2374","1","","","","","Spain","Nefroclub","","","","","4","","","ES","","","","18","54","2","4","4","4","4","4","4","4","4","4","4","4","4","","",""
"28806752","217.116.5.89","10/24/2017 00:05:56","0","2","1","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","",""
"28806812","217.116.5.89","10/24/2017 00:09:36","0","3","1","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","",""
"28806862","194.181.81.36","10/24/2017 00:12:55","0","196","1","","","","","Poland","Lublin Staszica","","","","","120","","","PL","78","","","13","15","1","5","5","5","4","5","5","4","5","5","5","4","5","","",""
"28806871","217.116.5.89","10/24/2017 00:13:08","0","402","1","","","","","Spain","Spain HQ","","","","","4","","","ES","","","","18","65","2","4","1","3","4","2","3","2","4","4","2","4","2","Se deberían mejorar los programas informáticos, que sean más eficientes. Se ha incrementado, mucho la carga de trabajo. No se deberían eliminar puestos, que son básicos para llevar un buen funcionamiento de la clínica, ya que esto conlleva retrasos y otros problemas, generando mal ambiente y todos salimos perdiendo. 
","",""
"28806886","213.63.135.82","10/24/2017 00:14:11","0","32","1","","","","","","","","","","","","","","PT","14","","","","","","","","","","","","","","","","","","","",""
"28806917","93.113.0.19","10/24/2017 00:15:29","0","264","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","4","4","3","3","4","5","4","5","3","4","4","4","-Munca in echipa,
-seriozitate, promtitudine.","",""
"28806927","217.116.5.89","10/24/2017 00:15:56","0","169","1","","","","","Spain","Cedicas - Vinaroz","","","","","4","","","ES","","","","18","41","1","4","3","4","2","3","5","1","1","5","2","3","1",".","",""
"28807022","212.247.96.201","10/24/2017 00:21:14","0","152","1","","","","","Kazakhstan","Almaty","","","","","7","","","SE","27","","","10","316","1","5","5","5","5","5","5","5","5","5","5","5","5","все хорошо","",""
"28807040","93.113.0.19","10/24/2017 00:22:15","0","1285","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","4","4","3","4","4","5","4","5","3","4","4","4","Unul dintre aspecte ar putea fi motivatia rational-economica, avand in vedere ca angajatii vor considera ca sunt apreciati si rasplatiti pe masura muncii.","",""
"28807046","93.113.0.19","10/24/2017 00:22:25","0","284","1","","","","","Romania","Targu Mures","","","","","180","","","RO","10","","","15","295","2","5","5","5","4","4","4","4","5","5","5","5","4","","",""
"28807083","109.0.186.1","10/24/2017 00:23:53","0","97","1","","","","","France","Diaverum France GIE","","","","","2","","","FR","","","","6","117","2","4","2","4","2","2","5","2","3","3","3","3","3","la reconnaissance ","",""
"28807084","93.113.0.19","10/24/2017 00:23:53","0","417","1","","","","","Romania","Bistrita","","","","","180","","","RO","10","","","15","269","1","4","4","5","4","3","4","3","5","4","4","5","4","","",""
"28807103","217.116.5.89","10/24/2017 00:24:25","0","186","1","","","","","Spain","Inca","","","","","4","","","ES","","","","18","45","1","4","4","3","3","4","4","2","4","2","2","2","1","","",""
"28807104","217.116.5.89","10/24/2017 00:24:28","0","88","1","","","","","Spain","Torremolinos","","","","","4","","","ES","","","","18","66","1","5","5","5","5","5","5","5","5","5","5","5","5","","",""
"28807115","212.247.96.201","10/24/2017 00:24:58","0","10","1","","","","","","","","","","","","","","SE","27","","","","","","","","","","","","","","","","","","","",""
"28807134","212.247.96.201","10/24/2017 00:25:36","0","198","1","","","","","Hungary","Zalaegerszeg","","","","","130","","","SE","27","","","8","99","1","5","4","4","4","4","5","4","4","4","4","4","4","","",""
"28807135","212.247.96.201","10/24/2017 00:25:43","0","274","1","","","","","Kazakhstan","Prime","","","","","7","","","SE","27","","","10","325","2","4","4","4","4","4","4","4","4","5","5","4","5","","",""
"28807149","194.181.81.36","10/24/2017 00:26:20","0","105","1","","","","","Poland","Lublin Chodzki","","","","","120","","","PL","78","","","13","13","1","4","4","3","3","4","4","4","4","2","3","3","3","","",""
"28807183","172.17.30.152","10/24/2017 00:28:13","0","215","1","","","","","Italy","Acquaviva","","","","","6","","","","","","","9","238","1","4","3","4","2","3","4","3","3","4","3","3","3","fornire piu corsi di formazione utili allo svolgimento del lavoro pratico e non solo teorico","",""
"28807222","93.113.0.19","10/24/2017 00:30:43","0","207","1","","","","","Romania","Braila","","","","","180","","","RO","10","","","15","270","2","4","4","3","3","4","4","3","4","3","3","4","2","munca in echipa","",""
"28807259","93.113.0.19","10/24/2017 00:32:51","0","138","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","4","4","3","4","4","4","3","4","3","4","3","3","","",""
"28807260","212.247.96.201","10/24/2017 00:32:54","0","118","1","","","","","Kazakhstan","Temirtau","","","","","7","","","SE","27","","","10","331","1","5","5","5","5","4","4","5","5","5","5","5","5","","",""
"28807269","93.113.0.19","10/24/2017 00:33:18","0","131","1","","","","","Romania","Busteni","","","","","180","","","RO","10","","","15","272","1","4","4","4","4","4","4","4","4","4","4","4","4","","",""
"28807275","93.113.0.19","10/24/2017 00:33:27","0","423","1","","","","","Romania","Braila","","","","","180","","","RO","10","","","15","270","2","5","5","3","3","4","5","3","4","3","4","3","4","","",""
"28807283","93.113.0.19","10/24/2017 00:34:10","0","49","1","","","","","Romania","Buzau","","","","","180","","","RO","10","","","15","273","1","5","","","","","","","","","","","","","",""
"28807296","194.181.81.36","10/24/2017 00:34:49","0","176","1","","","","","Poland","Wloclawek","","","","","120","","","PL","78","","","13","25","1","4","4","2","3","4","4","4","5","4","4","4","3","","",""
"28807297","93.113.0.19","10/24/2017 00:34:53","0","112","1","","","","","Romania","Calarasi","","","","","180","","","RO","10","","","15","274","2","4","4","4","4","4","5","3","5","4","4","4","4","","",""
"28807321","93.113.0.19","10/24/2017 00:36:31","0","639","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","4","4","4","3","3","4","4","5","4","4","4","4","-Oamenii din echipa Diaverum Focsani,
-Aparate si materiale necesare cu care ne putem exercita meseria ","",""
"28807483","93.113.0.19","10/24/2017 00:45:43","0","151","1","","","","","Romania","Targu Mures","","","","","180","","","RO","10","","","15","295","2","4","5","4","4","5","5","5","5","5","4","5","5","mediu de lucru placut, colaborare buna intre departamente","",""
"28807489","172.17.38.103","10/24/2017 00:45:56","0","161","1","","","","","Italy","Francavilla al Mare","","","","","6","","","","","","","9","249","1","5","5","5","5","5","5","5","5","5","5","5","5","","",""
"28807562","172.17.49.148","10/24/2017 00:51:02","0","292","1","","","","","Italy","Sciacca","","","","","6","","","","","","","9","264","1","4","4","4","5","5","5","3","3","4","4","4","4","mi sento gratificato in generale","",""
"28807628","212.247.96.201","10/24/2017 00:55:15","0","120","1","","","","","Kazakhstan","Prime","","","","","7","","","SE","27","","","10","325","2","5","5","5","1","5","4","4","4","5","4","4","4","","",""
"28807630","37.13.152.128","10/24/2017 00:55:30","0","205","1","","","","","Spain","Spain HQ","","","","","4","","","ES","","","","18","65","2","4","4","4","4","4","5","4","5","4","4","4","4","Flexibilidad horaria. Mantener la misma e implementar propuestas de conciliación con la vida familiar.","",""
"28807643","93.113.0.19","10/24/2017 00:56:06","0","221","1","","","","","Romania","Craiova","","","","","180","","","RO","10","","","15","276","1","5","4","4","4","3","4","3","4","4","4","3","4","","",""
"28807649","217.116.5.89","10/24/2017 00:56:33","0","274","1","","","","","Spain","Nephros","","","","","4","","","ES","","","","18","56","2","4","4","4","4","4","4","3","4","4","4","4","4","","",""
"28807657","93.113.0.19","10/24/2017 00:57:00","0","377","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","2","4","3","3","3","4","4","2","4","4","4","3","4","Aspectul pozitiv echipa.","",""
"28807696","194.181.81.36","10/24/2017 01:00:15","0","246","1","","","","","Poland","Lublin Chodzki","","","","","120","","","PL","78","","","13","13","2","5","5","4","4","4","4","4","4","4","4","5","5","Przełożeni w Stacji, lepszych nie spotkałam wżyciu.","",""
"28807697","213.63.135.82","10/24/2017 01:00:15","0","105","1","","","","","Portugal","Unidade de Torres Vedras","","","","","5","","","PT","14","","","14","220","1","5","5","5","5","3","5","4","4","4","4","4","4","","",""
"28807728","217.116.5.89","10/24/2017 01:02:03","0","518","1","","","","","Spain","Spain HQ","","","","","4","","","ES","","","","18","65","2","4","4","2","4","1","3","3","4","3","1","4","2","Lo bueno es el compañerismo, pero en la actualidad hay muchos aspectos que han bajado mi satisfacción y mis ganas de trabajar. Me da la sensación que las nuevas adquisiciones de directivos no quieren o no ven los problemas actuales de la compañía. Cada vez más se está exprimiendo a la gente, sin mimarla y sin tenerla en consideración. Por otro lado, los nuevos sistemas informáticos, han triplicado el tiempo de trabajo, con lo que nos conlleva más estrés, menos revisiones, más errores... más crispación. Para mejorarlo... cambio de actitud de directivos, ver la realidad actual de la compañía y sus problemas. ","",""
"28807788","217.116.5.89","10/24/2017 01:04:43","0","1167","1","","","","","Spain","Maresme","","","","","4","","","ES","","","","18","51","1","5","4","4","3","5","5","4","4","4","4","4","4","-Hay buena relación con los pacientes y compañeros (ambiente familiar).
- Buen ambiente de trabajo en general.
-Se podía mejorar los sueldos de todo el equipo de la clínica y mejorar la desigualdad entre compañeros de misma categoría profesional.","",""
"28807841","217.116.5.89","10/24/2017 01:07:32","0","315","1","","","","","Spain","Palau","","","","","4","","","ES","","","","18","59","1","4","4","4","4","4","4","4","5","4","5","5","5","La responsabilidad que desarrollamos se puede mejorar respetando el trabajo diario y transmitir al personal completa dedicación","",""
"28807850","93.113.0.19","10/24/2017 01:07:58","0","158","1","","","","","Romania","Focsani","","","","","180","","","RO","10","","","15","277","1","4","2","2","3","4","3","3","4","2","3","3","3","Echipa in care lucrez e ok.Salariul nu e pe masura.","",""
